exercise_id,name_et,name_en,movement_pattern_primary,movement_pattern_secondary,training_function,biomechanical_function,exercise_type,equipment_primary,equipment_secondary,body_position,bilateral_unilateral,open_closed_chain,primary_muscles,secondary_muscles,stabilizers,direct_load_weights,indirect_load_weights,muscle_length_profile,beginner_suitability,intermediate_suitability,advanced_suitability,technical_complexity,learning_difficulty,stability_requirement,coordination_requirement,mobility_requirement,fatigue_cost,time_cost,setup_time,default_sets,default_reps,default_rest_seconds,tempo_numeric,tempo_text_et,instructions_et,breathing_et,common_mistakes_et,coaching_cues_et,what_to_feel_et,contraindications,caution_flags,alternatives,progression_candidates,regression_candidates,substitution_group,evidence_ids,client_visible,status,version
ex_knee_001,Jalapress masinal,Machine Leg Press,knee_dominant,"[""hip_extension""]",primary_compound,bilateral_knee_dominant_press,compound,machine,[],seated,bilateral,closed_chain,"[""quadriceps""]","[""gluteus_maximus"", ""hamstrings""]","[""core""]","{""quadriceps"": 1.0, ""gluteus_maximus"": 0.4, ""hamstrings"": 0.2}","{""core"": 0.2}",lengthened,5,5,4,2,2,1,1,2,4,3,moderate,3-4,8-12,90-120,3-1-1-0,"Langeta kelku kontrollitult, hoia alumises asendis lühike paus ja suru raskus jõuliselt üles.","Istu masinale, aseta jalad platvormile puusade kuni õlgade laiuselt. Langeta raskus kontrollitult, kuni põlved on mugavas ja valuvabas asendis painutatud. Suru platvorm üles läbi terve labajala, hoides põlved varvastega samas suunas.",Hinga sisse raskuse langetamisel ja hinga välja platvormi üles surudes.,"[""Põlved vajuvad sissepoole"", ""Alaselg kaardub või tõuseb istmelt"", ""Raskus surutakse ainult päkkadega"", ""Liigutus jääb liiga lühikeseks""]","[""Suru läbi terve talla"", ""Hoia põlved varvaste suunas"", ""Kontrolli langetust"", ""Ära lukusta põlvi järsult""]","{""should_feel"": [""reie esiosa"", ""tuharad""], ""may_feel"": [""reie tagaosa"", ""kerelihased""], ""should_not_feel"": [""põlvevalu"", ""alaselja valu""]}","[""acute_knee_pain_unassessed""]","[""knee_pain"", ""hip_mobility_limit""]","[""Hack Squat"", ""Smith Squat"", ""Goblet Squat"", ""Belt Squat""]","[""Hack Squat"", ""Barbell Squat""]","[""Box Squat"", ""Smith Squat""]",knee_dominant_compound,[],True,draft,1.0
ex_knee_002,Kükk Smithi masinal,Smith Machine Squat,knee_dominant,"[""hip_extension""]",primary_compound,bilateral_knee_dominant_squat,compound,smith_machine,[],standing,bilateral,closed_chain,"[""quadriceps""]","[""gluteus_maximus"", ""hamstrings""]","[""core""]","{""quadriceps"": 1.0, ""gluteus_maximus"": 0.5, ""hamstrings"": 0.2}","{""core"": 0.3}",lengthened,5,4,3,2,2,1,2,3,4,3,moderate,3-4,8-12,90-120,3-1-1-0,"Lasku kontrollitult, hoia alumises asendis hetk ja tõuse jõuliselt üles.","Aseta kang ülaseljale, seisa jalad puusade kuni õlgade laiuselt. Lasku kükki kontrollitult, hoides põlved varvastega samas suunas. Tõuse üles läbi terve talla.",Hinga sisse laskumisel ja välja üles tõustes.,"[""Liiga suur ette- või tahakalle"", ""Põlved vajuvad sisse"", ""Kannad tõusevad"", ""Liiga lühike liigutusulatus""]","[""Hoia rind avatud"", ""Põlved varvaste suunas"", ""Suru põrand endast eemale"", ""Kontrollitud laskumine""]","{""should_feel"": [""reie esiosa"", ""tuharad""], ""may_feel"": [""kerelihased""], ""should_not_feel"": [""terav põlvevalu"", ""alaseljavalu""]}",[],"[""knee_pain"", ""fear_of_squat""]","[""Leg Press"", ""Goblet Squat"", ""Hack Squat"", ""Box Squat""]","[""Goblet Squat"", ""Barbell Back Squat""]","[""Leg Press"", ""Box Squat""]",knee_dominant_compound,[],True,draft,1.0
ex_knee_003,Kükk hantliga,Dumbbell Squat,knee_dominant,"[""hip_extension""]",primary_compound,bilateral_knee_dominant_squat,compound,dumbbell,[],standing,bilateral,closed_chain,"[""quadriceps""]","[""gluteus_maximus"", ""hamstrings""]","[""core"", ""upper_back""]","{""quadriceps"": 1.0, ""gluteus_maximus"": 0.45, ""hamstrings"": 0.2}","{""core"": 0.4, ""upper_back"": 0.2}",lengthened,4,4,3,3,3,3,3,3,3,2,low,3,8-12,90,3-1-1-0,Lasku rahulikult ja tõuse kontrollitult üles.,"Hoia hantleid külgedel või üht hantlit keha ees. Lasku kükki, hoides kere kontrolli all ja põlved varvastega samas suunas. Tõuse üles läbi terve talla.","Hinga sisse laskudes, hinga välja üles tõustes.","[""Kere vajub liigselt ette"", ""Põlved vajuvad sisse"", ""Kannad tõusevad"", ""Hantlid kisuvad keha tasakaalust välja""]","[""Suru läbi kanna ja päka"", ""Hoia kõht pinges"", ""Liigu kontrollitult"", ""Põlved varvastega samas suunas""]","{""should_feel"": [""reie esiosa"", ""tuharad""], ""may_feel"": [""kerelihased"", ""ülaselg""], ""should_not_feel"": [""põlvevalu"", ""alaselja valu""]}",[],"[""balance_limitation"", ""knee_pain""]","[""Smith Squat"", ""Goblet Squat"", ""Leg Press""]","[""Goblet Squat"", ""Barbell Squat""]","[""Smith Squat"", ""Box Squat""]",knee_dominant_compound,[],True,draft,1.0
ex_knee_004,Goblet-kükk,Goblet Squat,knee_dominant,"[""hip_extension""]",primary_compound,bilateral_knee_dominant_squat,compound,dumbbell,"[""kettlebell""]",standing,bilateral,closed_chain,"[""quadriceps""]","[""gluteus_maximus"", ""hamstrings""]","[""core"", ""upper_back""]","{""quadriceps"": 1.0, ""gluteus_maximus"": 0.45, ""hamstrings"": 0.2}","{""core"": 0.5, ""upper_back"": 0.3}",lengthened,4,5,3,3,3,3,3,3,3,2,low,3,8-12,90,3-1-1-0,"Lasku kontrollitult, hoia alumises asendis hetk ja tõuse üles.","Hoia hantlit või sangpommi rinna ees. Lasku kükki, hoides kere püstisena ja küünarnukid keha lähedal. Tõuse üles läbi terve talla.",Hinga sisse laskumisel ja välja tõusmisel.,"[""Raskus vajub kehast eemale"", ""Selg ümardub"", ""Põlved vajuvad sisse"", ""Liigutus jääb poolikuks""]","[""Hoia raskus rinna lähedal"", ""Küünarnukid alla"", ""Põlved varvaste suunas"", ""Suru põrand endast eemale""]","{""should_feel"": [""reie esiosa"", ""tuharad""], ""may_feel"": [""kerelihased"", ""ülaselg""], ""should_not_feel"": [""alaseljavalu"", ""põlvevalu""]}",[],"[""wrist_discomfort"", ""knee_pain""]","[""Smith Squat"", ""Dumbbell Squat"", ""Leg Press""]","[""Barbell Front Squat"", ""Barbell Back Squat""]","[""Box Squat"", ""Smith Squat""]",knee_dominant_compound,[],True,draft,1.0
ex_knee_005,Hack-kükk masinal,Machine Hack Squat,knee_dominant,"[""hip_extension""]",primary_compound,bilateral_knee_dominant_squat,compound,machine,[],standing_supported,bilateral,closed_chain,"[""quadriceps""]","[""gluteus_maximus""]","[""core""]","{""quadriceps"": 1.0, ""gluteus_maximus"": 0.35}","{""core"": 0.2}",lengthened,3,5,5,3,3,2,2,3,4,3,moderate,3-4,8-12,90-120,3-1-1-0,Lasku kontrollitult ja tõuse jõuliselt üles.,"Aseta selg ja õlad masinale, jalad platvormile. Lasku kontrollitult alla, hoides põlved varvastega samas suunas. Suru end üles läbi terve talla.",Hinga sisse laskudes ja välja üles surudes.,"[""Põlved vajuvad sisse"", ""Kannad tõusevad"", ""Liiga suur raskus vähendab liigutusulatust"", ""Alaselg kaardub toest eemale""]","[""Hoia selg vastu tuge"", ""Suru läbi terve talla"", ""Kontrolli alumist asendit"", ""Ära põruta üles""]","{""should_feel"": [""reie esiosa""], ""may_feel"": [""tuharad""], ""should_not_feel"": [""põlvevalu"", ""alaseljavalu""]}",[],"[""knee_pain"", ""limited_ankle_mobility""]","[""Leg Press"", ""Smith Squat"", ""Belt Squat""]","[""Barbell Squat""]","[""Leg Press"", ""Smith Squat""]",knee_dominant_compound,[],True,draft,1.0
ex_hip_001,Rumeenia jõutõmme hantlitega,Dumbbell Romanian Deadlift,hip_dominant,"[""posterior_chain""]",primary_compound,bilateral_hip_hinge,compound,dumbbell,[],standing,bilateral,closed_chain,"[""hamstrings"", ""gluteus_maximus""]","[""erector_spinae""]","[""core"", ""upper_back"", ""grip""]","{""hamstrings"": 1.0, ""gluteus_maximus"": 0.8, ""erector_spinae"": 0.4}","{""core"": 0.4, ""upper_back"": 0.3, ""grip"": 0.3}",lengthened,4,5,4,3,3,3,3,3,4,3,low,3,8-12,90-120,3-1-1-0,"Vii puusad taha aeglaselt, tunneta venitust reie tagaosas ja tõuse kontrollitult üles.","Seisa jalad puusade laiuselt, hantlid keha ees või külgedel. Vii puusad taha, hoides selg neutraalsena ja põlved kergelt painutatud. Lasku nii kaugele, kuni tunned reie tagaosa venitust ja tehnika säilib. Tõuse üles puusa sirutades.",Hinga sisse laskumisel ja välja üles tulles.,"[""Selg ümardub"", ""Põlved painduvad liiga palju"", ""Hantlid liiguvad kehast kaugele"", ""Liigutus tuleb alaseljast, mitte puusast""]","[""Puusad taha"", ""Hoia hantlid keha lähedal"", ""Selg pikk"", ""Tunneta reie tagaosa""]","{""should_feel"": [""reie tagaosa"", ""tuharad""], ""may_feel"": [""haare"", ""kerelihased"", ""alaselg stabiliseerijana""], ""should_not_feel"": [""ainult alaselga"", ""teravat valu""]}","[""acute_low_back_pain_unassessed""]","[""low_back_sensitivity"", ""hamstring_mobility_limit""]","[""Barbell Romanian Deadlift"", ""Smith Romanian Deadlift"", ""Cable Pull Through"", ""45 Degree Back Extension""]","[""Barbell Romanian Deadlift""]","[""Cable Pull Through"", ""Hip Hinge Drill""]",hip_hinge_compound,[],True,draft,1.0
ex_hip_002,Rumeenia jõutõmme kangiga,Barbell Romanian Deadlift,hip_dominant,"[""posterior_chain""]",primary_compound,bilateral_hip_hinge,compound,barbell,[],standing,bilateral,closed_chain,"[""hamstrings"", ""gluteus_maximus""]","[""erector_spinae""]","[""core"", ""upper_back"", ""grip""]","{""hamstrings"": 1.0, ""gluteus_maximus"": 0.8, ""erector_spinae"": 0.5}","{""core"": 0.5, ""upper_back"": 0.4, ""grip"": 0.4}",lengthened,2,5,5,4,4,4,4,3,5,3,moderate,3-4,8-12,90-120,3-1-1-0,"Lasku aeglaselt ja kontrollitult, tõuse puusade abil üles.","Hoia kang keha ees, jalad puusade laiuselt. Vii puusad taha ja lase kangil liikuda keha lähedalt alla. Hoia selg neutraalne ja põlved kergelt painutatud. Tõuse üles puusade sirutusega.","Hinga sisse laskumisel, pingesta kere ja hinga välja üles tulles.","[""Kang liigub kehast eemale"", ""Selg ümardub"", ""Liiga suur raskus"", ""Puusad ei liigu taha""]","[""Kang mööda jalgu"", ""Puusad taha"", ""Selg pikk"", ""Tõuse tuharaga""]","{""should_feel"": [""reie tagaosa"", ""tuharad""], ""may_feel"": [""alaselg stabiliseerijana"", ""haare""], ""should_not_feel"": [""ainult alaselga"", ""teravat alaseljavalu""]}","[""acute_low_back_pain_unassessed""]","[""low_back_sensitivity"", ""poor_hip_hinge_control""]","[""Dumbbell Romanian Deadlift"", ""Smith Romanian Deadlift"", ""Cable Pull Through"", ""45 Degree Back Extension""]","[""Conventional Deadlift""]","[""Dumbbell Romanian Deadlift"", ""Hip Hinge Drill""]",hip_hinge_compound,[],True,draft,1.0
ex_hip_003,Puusatõsted kangiga,Barbell Hip Thrust,hip_dominant,"[""glute_dominant""]",primary_compound,horizontal_hip_extension,compound,barbell,"[""bench""]",bench_supported,bilateral,closed_chain,"[""gluteus_maximus""]","[""hamstrings"", ""quadriceps""]","[""core""]","{""gluteus_maximus"": 1.0, ""hamstrings"": 0.3, ""quadriceps"": 0.2}","{""core"": 0.3}",shortened,3,5,5,3,3,3,2,2,4,4,high,3-4,8-12,90-120,2-1-1-1,"Langeta kontrollitult, tõsta puusad üles ja hoia ülaasendis tuharapinget.","Toeta ülaselg pingile, aseta kang puusadele. Jalad on põrandal ja põlved painutatud. Tõsta puusad üles, kuni keha moodustab õlgadest põlvedeni sirge joone. Hoia ülaasendis tuharad pinges ja langeta kontrollitult.",Hinga sisse langetamisel ja välja puusasid üles tõstes.,"[""Üles tõustes läheb alaselg nõgusaks"", ""Jalad on liiga kaugel või liiga lähedal"", ""Puusad ei tõuse lõpuni"", ""Tuhara asemel tuntakse reie esiosa või alaselga""]","[""Lõug kergelt rinnale"", ""Tõsta puusad, mitte alaselg"", ""Suru läbi kanna"", ""Pinguta tuharad ülaasendis""]","{""should_feel"": [""tuharad""], ""may_feel"": [""reie tagaosa"", ""reie esiosa vähesel määral""], ""should_not_feel"": [""alaselja valu"", ""ainult reie esiosa""]}",[],"[""low_back_sensitivity"", ""hip_discomfort""]","[""Machine Hip Thrust"", ""Glute Bridge"", ""Cable Pull Through"", ""45 Degree Back Extension""]","[""Single Leg Hip Thrust""]","[""Glute Bridge"", ""Machine Hip Thrust""]",hip_extension_glute_dominant,[],True,draft,1.0
ex_hip_004,Jalakõverdus masinal,Machine Leg Curl,knee_flexion,"[""hamstring_isolation""]",isolation,knee_flexion,isolation,machine,[],seated_or_lying,bilateral,open_chain,"[""hamstrings""]","[""gastrocnemius""]",[],"{""hamstrings"": 1.0}","{""gastrocnemius"": 0.2}",shortened,5,5,4,1,1,1,1,1,2,2,low,2-3,10-15,60,2-1-1-1,"Painuta jalad kontrollitult, hoia lõppasendis hetk ja lase raskus aeglaselt tagasi.","Seadista masin nii, et põlveliiges jääb masina teljega kohakuti. Painuta jalad kontrollitult, hoides puusad ja kere paigal. Lase raskus aeglaselt tagasi.",Hinga välja jalgu kõverdades ja sisse tagasi langetades.,"[""Liigutus tehakse hooga"", ""Puusad tõusevad pingilt"", ""Raskus lastakse kiiresti tagasi"", ""Liigutusulatus on liiga väike""]","[""Kontrolli mõlemat suunda"", ""Hoia puusad paigal"", ""Tunneta reie tagaosa"", ""Ära kasuta hoogu""]","{""should_feel"": [""reie tagaosa""], ""may_feel"": [""sääre ülaosa vähesel määral""], ""should_not_feel"": [""põlvevalu"", ""alaseljavalu""]}",[],"[""knee_pain""]","[""Swiss Ball Leg Curl"", ""Slider Leg Curl"", ""Nordic Hamstring Curl""]","[""Nordic Hamstring Curl""]","[""Light Machine Leg Curl""]",hamstring_knee_flexion_isolation,[],True,draft,1.0
ex_knee_006,Jalasirutus masinal,Machine Leg Extension,knee_extension,"[""quadriceps_isolation""]",isolation,knee_extension,isolation,machine,[],seated,bilateral,open_chain,"[""quadriceps""]",[],[],"{""quadriceps"": 1.0}",{},shortened,5,5,4,1,1,1,1,1,2,2,low,2-3,10-15,60,2-1-1-1,"Siruta jalad kontrollitult, hoia lõppasendis hetk ja langeta aeglaselt.","Istu masinale ja seadista tugi sääre alumise osa juurde. Siruta põlved kontrollitult, hoia ülaasendis hetk ja langeta raskus aeglaselt tagasi.",Hinga välja jalgu sirutades ja sisse raskust langetades.,"[""Liigutus tehakse hooga"", ""Raskus lastakse kiiresti alla"", ""Põlved liiguvad ebamugavas suunas"", ""Liiga suur raskus vähendab kontrolli""]","[""Tunneta reie esiosa"", ""Hoia kontroll"", ""Ära põruta lõppasendisse"", ""Langeta aeglaselt""]","{""should_feel"": [""reie esiosa""], ""may_feel"": [], ""should_not_feel"": [""põlvevalu""]}",[],"[""knee_pain"", ""post_knee_surgery""]","[""Spanish Squat"", ""Sissy Squat Regression"", ""Terminal Knee Extension""]","[""Heavier Leg Extension""]","[""Terminal Knee Extension""]",quadriceps_knee_extension_isolation,[],True,draft,1.0
